"ID"	"Reason.for.absence"	"Month.of.absence"	"Transportation.expense"	"Distance.from.Residence.to.Work"	"Service.time"	"Age"	"Work.load.Average.day"	"Disciplinary.failure"	"Education"	"Social.drinker"	"Weight"	"Height"	"Body.mass.index"
28	28	12	225	26	9	28	261.306	0	1	0	69	169	24
3	23	8	179	51	18	38	205.917	0	1	1	89	170	31
28	7	2	225	26	9	28	251.818	0	1	0	69	169	24
28	23	3	225	26	9	28	343.253	0	1	0	69	169	24
13	13	7	369	17	12	31	264.604	0	1	1	70	169	25
24	13	11	246	25	16	41	284.031	0	1	1	67	170	23
28	11	5	225	26	9	28	237.656	0	1	0	69	169	24
19	11	8	291	50	12	32	205.917	0	1	1	65	169	23
14	23	9	155	12	14	34	241.476	0	1	1	95	196	25
4	0	0	118	14	13	40	271.219	0	1	1	98	170	34
9	6	7	228	14	16	58	264.604	0	1	0	65	172	22
11	24	10	289	36	13	33	265.017	0	1	1	90	172	30
20	22	9	260	50	11	36	241.476	0	1	1	65	168	23
28	23	10	225	26	9	28	284.853	0	1	0	69	169	24
24	26	2	246	25	16	41	251.818	0	1	1	67	170	23
14	23	4	155	12	14	34	326.452	0	1	1	95	196	25
3	23	7	179	51	18	38	239.554	0	1	1	89	170	31
32	23	10	289	48	29	49	284.853	0	1	0	108	172	36
25	28	5	235	16	8	32	237.656	0	3	0	75	178	25
28	23	10	225	26	9	28	253.465	0	1	0	69	169	24
10	22	7	361	52	3	28	275.312	0	1	1	80	172	27
28	23	11	225	26	9	28	306.345	0	1	0	69	169	24
3	11	2	179	51	18	38	302.585	0	1	1	89	170	31
34	8	11	118	10	10	37	268.519	0	1	0	83	172	28
3	23	11	179	51	18	38	284.031	0	1	1	89	170	31
11	23	7	289	36	13	33	239.554	0	1	1	90	172	30
15	28	5	291	31	12	40	237.656	0	1	1	73	171	25
20	28	9	260	50	11	36	294.217	0	1	1	65	168	23
3	27	2	179	51	18	38	264.249	0	1	1	89	170	31
13	22	3	369	17	12	31	222.196	0	1	1	70	169	25
22	13	3	179	26	9	30	343.253	0	3	0	56	171	19
3	13	9	179	51	18	38	294.217	0	1	1	89	170	31
3	11	7	179	51	18	38	239.554	0	1	1	89	170	31
34	23	7	118	10	10	37	264.604	0	1	0	83	172	28
34	23	10	118	10	10	37	253.465	0	1	0	83	172	28
14	23	1	155	12	14	34	330.061	0	1	1	95	196	25
28	23	12	225	26	9	28	261.306	0	1	0	69	169	24
3	11	5	179	51	18	38	378.884	0	1	1	89	170	31
28	23	6	225	26	9	28	253.957	0	1	0	69	169	24
30	19	3	157	27	6	29	343.253	0	1	1	75	185	22
24	14	4	246	25	16	41	326.452	0	1	1	67	170	23
3	28	3	179	51	18	38	244.387	0	1	1	89	170	31
